Datetime,Rsl_1,Rsl_2,Rsl_3,flow_spill_Rsl_1,flow_spill_Rsl_2,flow_spill_Rsl_3
2006-09-27T00:00:00,17897.89958910906,59670.15965852073,34894.57922392848,458.4505293840853,1677.8891012107379,1024.3806808643833
2006-09-28T00:00:00,17440.88969951924,57970.095060243424,33870.76664434727,457.00988958981776,1700.0645982773062,1023.8125795812064
2006-09-29T00:00:00,17014.335089079475,56419.12825734871,32878.85141007731,426.55461043976374,1550.9668028947133,991.9152342699582
2006-09-30T00:00:00,16666.583696743808,55220.132366167294,32014.25413104331,347.751392335668,1198.9958911814208,864.5972790339978
2006-10-01T00:00:00,16412.785465940455,54803.034,31295.838944586518,253.7982308033537,417.09836616729154,718.4151864567942
2006-10-02T00:00:00,23143.084755240438,80044.56352951637,45476.856253903235,160.10071070001808,273.8304704836268,602.0226906832822
2006-10-03T00:00:00,23094.842030404056,80044.56352951637,44999.458771545935,48.24272483638104,0.0,477.39748235730355
2006-10-04T00:00:00,22323.06325337072,77003.70297652853,43446.58034007393,771.7787770333352,3040.860552987839,1552.878431472005
2006-10-05T00:00:00,21484.03696375365,73690.7654266944,41770.57601870489,839.026289617072,3312.9375498341187,1676.004321369045
2006-10-06T00:00:00,24206.529017484914,83572.59767793163,47729.42793215216,841.5079462687347,3315.767748762783,1687.5480865527284
2006-10-07T00:00:00,23410.160739279643,80445.29618884488,46122.55540314535,796.3682782052693,3127.3014890867516,1606.872529006807
2006-10-08T00:00:00,22619.282643414816,77342.3229417774,44536.30173266245,790.8780958648274,3102.97324706748,1586.253670482902
2006-10-09T00:00:00,21871.398025173396,74415.6512735947,43030.643150985605,747.8846182414202,2926.6716681826997,1505.658581676843
2006-10-10T00:00:00,20969.610306331542,70898.70612311595,41206.03788904207,901.7877188418538,3516.945150478763,1824.6052619435352
2006-10-11T00:00:00,20102.977505792027,67533.28081759447,39441.854283361514,866.6328005395151,3365.425305521477,1764.183605680557
2006-10-12T00:00:00,19371.553942042632,64713.717369285216,37937.92254639471,731.4235637493955,2819.563448309253,1503.931736966806
2006-10-13T00:00:00,19975.994471372258,66878.53964697602,39274.913676131095,672.6594706703751,2564.317722309203,1402.968870263611
2006-10-14T00:00:00,19365.267959745,64585.78475051475,37977.64031870777,610.726511627258,2292.754896461263,1297.2733574233293
2006-10-15T00:00:00,18675.990211700082,61976.74030230948,36531.185597935066,689.2777480449174,2609.0444482052712,1446.454720772703
2006-10-16T00:00:00,18054.9270827958,59655.1920045834,35208.55643819228,621.0631289042836,2321.548297726082,1322.6291597427876
2006-10-17T00:00:00,18429.50402562087,61081.12421470826,35984.61425728876,635.2230571749301,2313.3877898751393,1390.4221809035193
2006-10-18T00:00:00,17872.639829469885,59145.295036218115,34712.628856941315,556.8641961509855,1935.8291784901414,1271.985400347448
2006-10-19T00:00:00,18373.313825422156,61065.76178255086,35742.3228990868,627.9260040477287,2258.773253667258,1391.665957854516
2006-10-20T00:00:00,17987.172894887863,59728.16413342009,34851.80057504953,386.14093053429167,1337.597649130768,890.5223240372699
2006-10-21T00:00:00,17561.48349388851,58180.85036873697,33912.795973530745,425.68940099935105,1547.313764683122,939.004601518783
