Date;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
2001-09-01;72237.25694;119230.3008;67271.14749;103455.5933;173219.5022;96984.02917;42608.57517;98881.24037;25190.57187;67731.75091;44395.76644;145586.9569;39035.55894;24790.82751;11303.74677;49507.15935;53953.66269;45349.01172;65243.3154;131677.7505;89637.9447;77507.02196;113338.4703;44839.46228;119131.4528;37622.7555;74979.89506;166847.964;125124.2266;84485.97264;12656.09792;47321.53451;35987.23027;24545.50838
2001-10-01;79582.50618;129151.4443;75353.84595;115309.9841;184923.038;107839.4344;54183.17986;114799.8794;31713.67228;77178.9996;56952.24148;162850.3804;49541.70352;33205.4759;17562.23184;57158.27054;60669.97147;54868.80076;77856.24397;161390.748;110717.8352;103061.3312;121570.0346;57066.18655;144559.2545;57803.30265;84959.96404;201118.8705;146580.844;114580.641;17728.99979;62298.10023;40119.92964;30592.69103
2001-11-01;69780.51227;117179.9365;64621.94037;98102.54574;167378.3269;92863.57355;38641.64194;94054.70288;23711.28479;65118.02942;42734.24256;141697.095;36918.11237;23586.46229;11098.89816;47184.00478;51586.27421;45085.72769;64955.10936;132155.7781;89013.37838;74356.45366;109995.792;45480.57407;111041.4737;35178.33182;71445.58471;160315.5577;121417.5961;90984.46727;11300.34064;41993.09993;34513.87677;25920.37842
2001-12-01;68339.88279;111323.2827;61797.78671;95074.79632;164988.0345;91579.87261;37342.22111;92806.86414;23147.63546;64435.31495;42079.8828;139606.1758;35392.86536;21646.68524;9131.917275;46074.49722;49617.11651;40664.04015;61021.61711;126942.7707;85452.74591;72776.08323;108978.7499;43365.82392;109218.7196;33656.28093;70198.20946;159019.671;119432.3323;86759.23491;10948.72516;40456.42027;34130.13473;25020.62228
2002-01-01;69628.88485;121320.38;67294.66456;98807.37233;166419.4329;92535.93743;38438.61106;93599.02883;23911.37543;65392.68816;44114.53199;142178.4732;36998.63094;23544.5458;11059.49463;46800.10343;51439.28647;45150.09427;63821.79505;130988.1996;88833.41074;74488.67261;109934.1677;45436.0891;111108.2157;35262.05376;71271.4203;158822.2743;120917.6399;90663.07855;11611.4337;41919.52157;34570.56203;25777.79621
2002-02-01;67457.5122;116572.8378;63839.24818;94179.16811;162733.1378;89129.70364;35158.05432;89214.73396;22173.11329;62654.9601;41315.00101;137756.8485;34181.37646;21390.19659;10011.27581;44555.26346;49796.48548;42561.44446;61376.74373;125075.0585;84609.9937;71688.59124;107246.9548;43237.11491;104270.7102;32584.84921;68352.70107;152118.9866;116943.4429;88120.57936;10176.79574;37240.79257;33270.94084;24823.07839
2002-03-01;65571.78676;111878.6062;59275.9223;89825.16396;158505.3177;86629.50718;33132.7883;86707.71074;21166.58646;61107.7289;39435.72092;134886.6552;32578.51732;19982.6134;9004.975297;43286.72236;47518.58354;40723.00905;59712.14443;121114.9496;80779.41942;70162.75764;105594.5317;41793.59829;100818.8038;30325.2815;66483.94114;149237.2062;114643.6751;86237.39827;9412.735306;34685.19509;32615.7217;24452.3043
2002-04-01;101410.8971;166433.7044;111772.6804;146952.8396;233196.6205;134204.5201;81818.47715;148152.5627;44419.38972;97602.8502;90477.80013;207240.6092;71827.1445;50308.29924;31298.06802;72376.16265;95488.38007;81128.09587;109186.208;206693.7153;155211.8268;125804.1601;143673.3305;73445.36626;197012.6381;73304.68386;109050.0784;249044.4717;169204.3641;120022.2723;29114.40817;100182.6117;49762.73793;35452.98332
2002-05-01;107202.4409;175539.8469;122926.5608;150507.1861;256397.7113;133505.574;85009.54735;148898.7651;43368.94763;95265.82968;84433.15458;199272.1503;68221.1532;48619.41522;30107.14146;71401.1094;106492.9311;87068.1771;107870.4783;201576.8137;156231.9106;123694.4987;141326.9341;71846.45641;190964.9026;75912.45729;108285.327;244438.3314;167603.1368;117762.1132;27913.28976;97590.14297;49385.9337;35236.18788
2002-06-01;213867.6631;332178.9007;255936.234;340748.5585;486950.1457;302380.2452;260716.7222;382335.3939;126875.0342;221517.8232;248211.3562;435886.9972;203907.5675;155813.5471;104240.3326;173346.5939;203190.1882;193505.8086;252391.36;489046.0668;352590.2324;281159.0109;269371.5069;175468.1997;543086.802;199585.3121;238903.0759;567596.0426;351828.0301;246729.5537;104786.7919;332173.1071;115486.8425;72361.85735
