Date,U_init,etp,prec,FC,WP,zr,dg,kc,area
2009-08-01,28.82096623,61115.82891,68212.63125,26,12,189.77,1.31,0.8156176,637200
2009-09-01,27.35818698,46513.61719,58778.86992,26,12,189.77,1.31,0.8156176,637200
2009-10-01,26.44031262,35694.82969,29741.30859,26,12,189.77,1.31,0.77670825,637200
2009-11-01,24.67700608,35299.33594,12996.90615,26,12,189.77,1.31,0.77670825,637200
2009-12-01,22.16705841,40100.43164,38084.54766,26,12,189.77,1.31,0.77670825,637200
2010-01-01,20.74893621,54543.57891,0,26,12,189.77,1.31,0.77456826,637200
2010-02-01,16.75456822,49159.95117,50509.7332,26,12,189.77,1.31,0.77456826,637200
2010-03-01,15.73611913,50978.05313,77310.77344,26,12,189.77,1.31,0.7739263,637200
2010-04-01,16.22095588,56536.91016,27987.22266,26,12,189.77,1.31,0.7739263,637200
2010-05-01,13.70540307,38354.86758,151111.9828,26,12,189.77,1.31,0.7739263,637200
2010-06-01,19.01961657,58598.13164,292506.2156,26,12,189.77,1.31,0.7739263,637200
2010-07-01,29.65834545,56623.78477,180216.0984,26,12,189.77,1.31,0.7739263,637200
2010-08-01,33.91700122,57473.91211,103883.1328,26,12,189.77,1.31,0.7739263,637200
2010-09-01,34.06222686,44454.36445,71063.73281,26,12,189.77,1.31,0.7739263,637200
2010-10-01,33.42181594,33831.0457,20310.75,26,12,189.77,1.31,0.69833225,637200
2010-11-01,30.83526949,32026.61602,29358.98965,26,12,189.77,1.31,0.69833225,637200
2010-12-01,29.11398807,38935.21992,6149.940381,26,12,189.77,1.31,0.69833225,637200
2011-01-01,25.77473131,50402.53828,17328.74414,26,12,189.77,1.31,0.69866455,637200
2011-02-01,22.48063492,55378.20234,3300.151685,26,12,189.77,1.31,0.69866455,637200
2011-03-01,18.44288166,56299.35234,121973.9484,26,12,189.77,1.31,0.77326804,637200
2011-04-01,20.89349405,62472.58594,68781.41719,26,12,189.77,1.31,0.77326804,637200
2011-05-01,20.01291492,59221.72266,106242.9117,26,12,189.77,1.31,0.77326804,637200
2011-06-01,21.36413256,60512.77266,172008.2953,26,12,189.77,1.31,0.77326804,637200
2011-07-01,25.84230736,56764.47656,82676.7,26,12,189.77,1.31,0.77326804,637200
2011-08-01,25.69393174,55045.79648,58048.9207,26,12,189.77,1.31,0.7964754,637200
2011-09-01,24.37780212,42798.58242,87758.37422,26,12,189.77,1.31,0.86117935,637200
2011-10-01,25.26771703,35299.01602,59307.39141,26,12,189.77,1.31,0.86117935,637200
2011-11-01,24.85275437,31062.21328,141877.7016,26,12,189.77,1.31,0.86117935,637200
2011-12-01,29.06010204,42321.16055,6629.601709,26,12,189.77,1.31,0.797741,637200
2012-01-01,25.43987341,54413.44453,48.08351555,26,12,189.77,1.31,0.7665035,637200
2012-02-01,21.16796955,51814.69102,72069.34922,26,12,189.77,1.31,0.70180714,637200
2012-03-01,21.24345614,60623.39531,51904.10391,26,12,189.77,1.31,0.74507,637200
2012-04-01,19.47600897,58833.86484,63926.47266,26,12,189.77,1.31,0.74507,637200
2012-05-01,18.66510136,54827.05781,81616.08516,26,12,189.77,1.31,0.74507,637200
2012-06-01,19.09642281,54233.28281,139992.8344,26,12,189.77,1.31,0.7022824,637200
2012-07-01,22.58475123,48247.14727,108936.3867,26,12,189.77,1.31,0.7022824,637200
2012-08-01,24.55339083,55218.84609,163671.5531,26,12,189.77,1.31,0.80758286,637200
2012-09-01,28.45596377,43421.32617,63369.54141,26,12,189.77,1.31,0.80758286,637200
2012-10-01,27.85633565,37581.5707,105230.0531,26,12,189.77,1.31,0.8448054,637200
2012-11-01,29.54863381,34749.16172,57215.11641,26,12,189.77,1.31,0.9015829,637200
2012-12-01,28.26802557,42247.46953,24195.66855,26,12,189.77,1.31,0.9032097,637200
2013-01-01,25.07286508,55666.47305,78.18241196,26,12,189.77,1.31,0.73452795,637200
2013-02-01,20.73861714,46654.10156,35969.99414,26,12,189.77,1.31,0.70290935,637200
2013-03-01,19.09180096,60944.57578,110469.1359,26,12,189.77,1.31,0.8037209,637200
2013-04-01,20.43091585,64783.70156,61712.81719,26,12,189.77,1.31,0.8037209,637200
2013-05-01,18.9449144,60535.07578,54773.20898,26,12,189.77,1.31,0.8028256,637200
2013-06-01,17.43088843,60707.34141,62787.36094,26,12,189.77,1.31,0.82632023,637200
2013-07-01,16.39123037,49290.82734,58112.63789,26,12,189.77,1.31,0.82632023,637200
2013-08-01,15.92549851,48377.20078,94236.22969,26,12,189.77,1.31,0.87615067,637200
2013-09-01,17.21328321,37585.04414,52345.07227,26,12,189.77,1.31,0.8375764,637200
2013-10-01,17.07983133,28840.67227,54840.07969,26,12,189.77,1.31,0.7822241,637200
2013-11-01,17.66033492,26923.18359,0,26,12,189.77,1.31,0.78201896,637200
2013-12-01,15.55572321,28695.35566,20585.51016,26,12,189.77,1.31,0.74717855,637200
2014-01-01,14.30756124,36852.43359,7603.066406,26,12,189.77,1.31,0.7442028,637200
2014-02-01,11.91963052,18777.16406,65866.99922,26,12,189.77,1.31,0.71534175,637200
2014-03-01,14.0952776,50807.3625,4741.589795,26,12,189.77,1.31,0.76847684,637200
2014-04-01,10.75424331,6646.616016,123585.4688,26,12,189.77,1.31,0.76187736,637200
2014-05-01,16.80835973,54065.38711,166189.6688,26,12,189.77,1.31,0.75388724,637200
2014-06-01,21.77472257,61831.71563,61301.25,26,12,189.77,1.31,0.75425345,637200
2014-07-01,20.50788905,48990.61406,122092.0594,26,12,189.77,1.31,0.75425345,637200
2014-08-01,23.1878706,50589.66094,143258.4844,26,12,189.77,1.31,0.75425345,637200
2014-09-01,26.62182809,43545.17461,35477.2582,26,12,189.77,1.31,0.81968355,637200
2014-10-01,24.68441086,32011.35469,59745.29063,26,12,189.77,1.31,0.81968355,637200
2014-11-01,24.72593512,34130.66133,10195.2,26,12,189.77,1.31,0.81911075,637200
2014-12-01,22.06610436,34832.73164,60167.60859,26,12,189.77,1.31,0.7841282,637200
2015-01-01,22.15399201,50201.39531,11826.57041,26,12,189.77,1.31,0.76812047,637200
2015-02-01,18.67613366,47029.78125,110326.9078,26,12,189.77,1.31,0.7722191,637200
2015-03-01,21.01159745,62017.51641,72854.69063,26,12,189.77,1.31,0.8152247,637200
2015-04-01,20.06302858,60801.89063,169840.6031,26,12,189.77,1.31,0.8224797,637200
2015-05-01,24.34510665,65004.75,116560.6383,26,12,189.77,1.31,0.8224797,637200
2015-06-01,25.37744585,68952.80391,253478.1656,26,12,189.77,1.31,0.8224797,637200
2015-07-01,32.79878516,62767.07578,139109.9344,26,12,189.77,1.31,0.8224797,637200
2015-08-01,34.32514834,58557.48047,82561.53516,26,12,189.77,1.31,0.8090262,637200
2015-09-01,33.25276044,45873.16523,28275.75,26,12,189.77,1.31,0.8090262,637200
2015-10-01,30.2709295,36731.78438,82556.78906,26,12,189.77,1.31,0.80687743,637200
2015-11-01,30.860214,32224.3207,74499.34922,26,12,189.77,1.31,0.7454653,637200
2015-12-01,31.54422379,42878.45391,5406.434033,26,12,189.77,1.31,0.7412803,637200
2016-01-01,27.69871141,53036.7293,38330.67656,26,12,189.77,1.31,0.7262949,637200
2016-02-01,25.19849603,58855.48594,13854.77666,26,12,189.77,1.31,0.7685408,637200
2016-03-01,21.1556667,59625,77615.55,26,12,189.77,1.31,0.73753446,637200
2016-04-01,20.987964,69716.28516,49602.01641,26,12,189.77,1.31,0.86370736,637200
2016-05-01,18.30234907,63124.11563,97031.73516,26,12,189.77,1.31,0.86370736,637200
2016-06-01,18.6677689,62776.14609,233546.4,26,12,189.77,1.31,0.86370736,637200
2016-07-01,25.89343868,62429.16094,91342.62422,26,12,189.77,1.31,0.86370736,637200
2016-08-01,25.61604399,62120.68594,73293.93281,26,12,189.77,1.31,0.86429006,637200
2016-09-01,24.47779129,46950.33867,74954.84063,26,12,189.77,1.31,0.86429006,637200
2016-10-01,24.43135425,36496.26914,126117.8156,26,12,189.77,1.31,0.86200947,637200
2016-11-01,27.51641028,34996.76367,12247.10156,26,12,189.77,1.31,0.83005536,637200
2016-12-01,24.70043329,41058.77344,175.2299973,26,12,189.77,1.31,0.7539997,637200
2017-01-01,21.32824046,46732.81992,54066.4207,26,12,189.77,1.31,0.7024986,637200
2017-02-01,20.60576555,53750.35195,13869.77344,26,12,189.77,1.31,0.69226813,637200
2017-03-01,17.28632569,49853.91445,87933.6,26,12,189.77,1.31,0.6928482,637200
2017-04-01,18.61540999,60384.25547,153372.3328,26,12,189.77,1.31,0.7820485,637200
2017-05-01,22.34436573,63648.44297,109348.0523,26,12,189.77,1.31,0.78453565,637200
2017-06-01,23.37306638,69074.29688,150586.6922,26,12,189.77,1.31,0.8402039,637200
2017-07-01,25.83916229,60623.14219,74269.93359,26,12,189.77,1.31,0.8402039,637200
2017-08-01,24.85770398,56774.89688,64632.46641,26,12,189.77,1.31,0.8300367,637200
2017-09-01,23.73009936,43349.89219,15561.44824,26,12,189.77,1.31,0.831662,637200
2017-10-01,20.91804818,32593.55977,9665.53418,26,12,189.77,1.31,0.77862227,637200
2017-11-01,18.62673445,26796.45234,14512.23018,26,12,189.77,1.31,0.755175,637200
2017-12-01,17.09517367,30041.26875,1840.835522,26,12,189.77,1.31,0.70747316,637200
2018-01-01,14.87645067,35564.92383,60247.15313,26,12,189.77,1.31,0.6931545,637200
2018-02-01,15.52431425,39640.90781,56719.07578,26,12,189.77,1.31,0.6901295,637200
2018-03-01,15.76064503,50235.50742,157595.4844,26,12,189.77,1.31,0.7786383,637200
2018-04-01,20.29744188,62869.21875,77855.59688,26,12,189.77,1.31,0.7764075,637200
2018-05-01,19.71760118,60563.39063,66444.03281,26,12,189.77,1.31,0.77572393,637200
2018-06-01,18.71085464,60924.75469,73515.69844,26,12,189.77,1.31,0.801357,637200
2018-07-01,17.9695977,50257.99688,132320.7141,26,12,189.77,1.31,0.82383335,637200
2018-08-01,20.80702303,52402.9957,133318.1672,26,12,189.77,1.31,0.8259631,637200
2018-09-01,23.35465507,41000.09414,49749.38789,26,12,189.77,1.31,0.8258855,637200
2018-10-01,22.23887944,24790.79355,9848.795801,26,12,189.77,1.31,0.6044873,637200
2018-11-01,20.58594743,23750.02441,12922.24482,26,12,189.77,1.31,0.60551864,637200
2018-12-01,19.28122453,28241.05781,21267.59063,26,12,189.77,1.31,0.59293944,637200
