Datetime,Rsl_3
2001-10-11T00:00:00,62153.074699349796
2001-10-12T00:00:00,60625.664739505475
2001-10-13T00:00:00,59044.4237243062
2001-10-14T00:00:00,57088.14869569096
2001-10-15T00:00:00,55546.95381162139
2001-10-16T00:00:00,54104.80515203323
2001-10-17T00:00:00,65109.096000000005
2001-10-18T00:00:00,63349.35715113828
2001-10-19T00:00:00,64791.97795113828
2001-10-20T00:00:00,63120.827855982
2001-10-21T00:00:00,65109.096000000005
2001-10-22T00:00:00,63591.537341496194
2001-10-23T00:00:00,62052.06214149619
2001-10-24T00:00:00,60453.56142804316
2001-10-25T00:00:00,58873.56078271679
2001-10-26T00:00:00,57082.44654037743
2001-10-27T00:00:00,55237.74006230944
2001-10-28T00:00:00,53179.68671973901
2001-10-29T00:00:00,51764.00177715175
2001-10-30T00:00:00,50095.95821068963
