Date;U_init;etp;prec;FC;WP;zr;dg;kc;area;ES;int
2007-02-01;29.17384261;117.14;104.87308;26;12;189.77;1.31;0.81533253;637200;17.1192;8.68272
2007-03-01;28.42428965;118.442;65.52141;26;12;189.77;1.31;0.8158732;637200;7.99552;8.30807
2007-04-01;26.15527253;87.3373;68.2932;26;12;189.77;1.31;0.8268038;637200;7.2855;10.1463
2007-05-01;25.22064901;73.8504;33.14628;26;12;189.77;1.31;0.8268038;637200;1.30942;16.1893
2007-06-01;23.43659139;72.4;1.39750348;26;12;189.77;1.31;0.66526455;637200;0.00304652;1.12925
2007-07-01;20.90998787;87.3344;169.34701;26;12;189.77;1.31;0.6658876;637200;14.9296;9.22339
2007-08-01;25.06602008;125.403;0.021611485;26;12;189.77;1.31;0.6607993;637200;8.15E-07;0.0533877
2007-09-01;20.93536203;134.955;3.5872481;26;12;189.77;1.31;0.6607993;637200;0.0145819;3.15541
2007-10-01;17.21398907;146.265;22.074074;26;12;189.77;1.31;0.84661275;637200;0.639426;19.3665
2007-11-01;13.82449713;142.476;107.0557;26;12;189.77;1.31;0.84661275;637200;11.3069;19.0484
2007-12-01;15.05388566;139.775;167.7163;26;12;189.77;1.31;0.84661275;637200;23.2789;20.0798
2008-01-01;18.08747891;136.931;169.159;26;12;189.77;1.31;0.84661275;637200;26.5116;17.3794
2008-02-01;20.64483218;116.794;137.4879;26;12;189.77;1.31;0.84661275;637200;24.3939;11.5942
2008-03-01;22.12131618;116.768;155.1419;26;12;189.77;1.31;0.84661275;637200;29.5955;11.7186
2008-04-01;24.13705572;84.8267;116.5641;26;12;189.77;1.31;0.853128;637200;17.6515;17.5344
2008-05-01;25.49120852;72.6364;38.17881;26;12;189.77;1.31;0.853128;637200;1.89599;25.6198
2008-06-01;24.0328142;67.0803;23.315326;26;12;189.77;1.31;0.77197707;637200;0.668074;11.9666
2008-07-01;22.32825492;87.755;0.017106684;26;12;189.77;1.31;0.73199654;637200;8.16E-07;0.0578925
2008-08-01;19.26152918;114.202;27.904611;26;12;189.77;1.31;0.7317668;637200;0.548789;16.3466
2008-09-01;17.10406998;127.525;18.235089;26;12;189.77;1.31;0.7317668;637200;0.307211;11.6158
2008-10-01;14.48691495;137.241;80.86308;26;12;189.77;1.31;0.7651332;637200;5.25412;25.9328
