Date,U_init,etp,prec,FC,WP,zr,dg,kc,area
2000-12-15,22,3.8,6.4,26,12,189.77,1.31,0.66,637200
2000-12-16,22,3.02,11.5,26,12,189.77,1.31,0.66,637200
2000-12-17,22,2.33,0.2,26,12,189.77,1.31,0.66,637200
2000-12-18,22,2.59,0,26,12,189.77,1.31,0.66,637200
2000-12-19,22,3.02,0,26,12,189.77,1.31,0.66,637200
2000-12-20,22,3.48,0,26,12,189.77,1.31,0.66,637200
2000-12-21,22,4.31,2,26,12,189.77,1.31,0.66,637200
2000-12-22,22,4.71,1.8,26,12,189.77,1.31,0.66,637200
2000-12-23,22,4.31,0,26,12,189.77,1.31,0.66,637200
2000-12-24,22,4.14,1,26,12,189.77,1.31,0.66,637200
2000-12-25,22,4.31,0,26,12,189.77,1.31,0.66,637200
2000-12-26,22,4.71,1.2,26,12,189.77,1.31,0.66,637200
2000-12-27,22,4.55,8,26,12,189.77,1.31,0.66,637200
2000-12-28,22,3.8,28,26,12,189.77,1.31,0.66,637200
2000-12-29,22,4.14,0.4,26,12,189.77,1.31,0.66,637200
2000-12-30,22,3.64,0,26,12,189.77,1.31,0.66,637200
2000-12-31,22,4.31,0,26,12,189.77,1.31,0.66,637200
2001-01-01,22,4.31,0,26,12,189.77,1.31,0.66,637200
2001-01-02,22,3.97,0,26,12,189.77,1.31,0.66,637200
2001-01-03,22,3.8,0,26,12,189.77,1.31,0.66,637200
2001-01-04,22,4.31,0,26,12,189.77,1.31,0.66,637200
2001-01-05,22,4.99,0,26,12,189.77,1.31,0.66,637200
2001-01-06,22,4.99,33.4,26,12,189.77,1.31,0.66,637200
2001-01-07,22,4.55,0,26,12,189.77,1.31,0.66,637200
2001-01-08,22,4.14,5.3,26,12,189.77,1.31,0.66,637200
2001-01-09,22,3.8,4.9,26,12,189.77,1.31,0.66,637200
2001-01-10,22,3.32,0,26,12,189.77,1.31,0.66,637200
2001-01-11,22,3.17,0,26,12,189.77,1.31,0.66,637200
2001-01-12,22,3.64,5.6,26,12,189.77,1.31,0.66,637200
2001-01-13,22,3.8,0.2,26,12,189.77,1.31,0.66,637200
2001-01-14,22,3.97,0,26,12,189.77,1.31,0.66,637200
2001-01-15,22,4.14,10.4,26,12,189.77,1.31,0.66,637200
2001-01-16,22,4.14,0,26,12,189.77,1.31,0.66,637200
2001-01-17,22,5.12,0,26,12,189.77,1.31,0.66,637200
2001-01-18,22,5.25,0.5,26,12,189.77,1.31,0.66,637200
2001-01-19,22,4.85,43.8,26,12,189.77,1.31,0.66,637200
2001-01-20,22,4.55,5.2,26,12,189.77,1.31,0.66,637200
2001-01-21,22,4.14,0,26,12,189.77,1.31,0.66,637200
2001-01-22,22,4.71,0,26,12,189.77,1.31,0.66,637200
2001-01-23,22,3.8,10.5,26,12,189.77,1.31,0.66,637200
2001-01-24,22,4.14,5,26,12,189.77,1.31,0.66,637200
2001-01-25,22,4.14,16,26,12,189.77,1.31,0.66,637200
2001-01-26,22,4.31,0.4,26,12,189.77,1.31,0.66,637200
2001-01-27,22,3.64,18.6,26,12,189.77,1.31,0.66,637200
2001-01-28,22,4.31,61.5,26,12,189.77,1.31,0.66,637200
2001-01-29,22,4.14,0,26,12,189.77,1.31,0.66,637200
2001-01-30,22,4.14,13.2,26,12,189.77,1.31,0.66,637200
2001-01-31,22,3.64,0.4,26,12,189.77,1.31,0.66,637200
2001-02-01,22,4.85,0,26,12,189.77,1.31,0.66,637200
2001-02-02,22,3.8,0,26,12,189.77,1.31,0.66,637200
2001-02-03,22,4.85,0.2,26,12,189.77,1.31,0.66,637200
2001-02-04,22,3.97,0,26,12,189.77,1.31,0.66,637200
2001-02-05,22,5.12,0.1,26,12,189.77,1.31,0.66,637200
2001-02-06,22,4.14,1,26,12,189.77,1.31,0.66,637200
