Date;U_init;etp;prec;FC;WP;dg;kc;area
01/08/2012;26.88420453;115.444;0.016462725;26;12;1.31;0.68573385;297000
01/09/2012;22.67290894;126.926;92.613;26;12;1.31;0.6553564;297000
01/10/2012;22.55871172;140.023;76.43752;26;12;1.31;0.6808139;297000
01/11/2012;20.74504968;142.472;91.676208;26;12;1.31;0.6808139;297000
01/12/2012;19.85103955;135.756;115.432377;26;12;1.31;0.6808139;297000
01/01/2013;20.18045189;138.621;181.73027;26;12;1.31;0.68594265;297000
01/02/2013;23.29659035;114.225;139.87684;26;12;1.31;0.68594265;297000
01/03/2013;25.03370024;112.693;183.5763;26;12;1.31;0.76098365;297000
01/04/2013;27.84341901;84.7199;59.90546;26;12;1.31;0.76098365;297000
01/05/2013;26.37761254;70.9703;93.59377;26;12;1.31;0.75839335;297000
01/06/2013;26.68275063;61.0195;37.68542;26;12;1.31;0.75863284;297000
01/07/2013;25.29584589;75.1619;8.553952;26;12;1.31;0.7587884;297000
01/08/2013;22.56956356;122.774;0.006329876;26;12;1.31;0.710811;297000
01/09/2013;18.536372;114.582;21.587174;26;12;1.31;0.7096695;297000
01/10/2013;16.33274582;138.7;94.79383;26;12;1.31;0.7207968;297000
01/11/2013;17.58575797;142.182;51.64136;26;12;1.31;0.7207968;297000
01/12/2013;16.30882634;138.167;43.60393;26;12;1.31;0.7208856;297000
01/01/2014;15.02792962;141.345;83.12879;26;12;1.31;0.71772015;297000
01/02/2014;14.97537307;119.53;77.24006;26;12;1.31;0.71772015;297000
01/03/2014;15.03898647;113.951;111.2711;26;12;1.31;0.7784507;297000
01/04/2014;15.98430838;86.3989;27.38328;26;12;1.31;0.79026127;297000
01/05/2014;14.81428213;70.9722;20.23547;26;12;1.31;0.78804284;297000
01/06/2014;13.87033266;64.7454;0;26;12;1.31;0.78337586;297000
01/07/2014;12.24262996;78.8022;6.627042;26;12;1.31;0.7724389;297000
01/08/2014;11.39912018;111.796;2.3541864;26;12;1.31;0.9344906;297000
01/09/2014;10.47769196;117.697;53.8203;26;12;1.31;0.8264006;297000
01/10/2014;12.92527345;144.815;1.50544685;26;12;1.31;0.88698727;297000
01/11/2014;9.517395366;141.542;142.1206;26;12;1.31;0.8443741;297000
01/12/2014;15.36045266;135.993;222.78078;26;12;1.31;0.6926564;297000
01/01/2015;20.79043592;138.26;85.4257;26;12;1.31;0.76781213;297000
01/02/2015;19.39205204;112.142;160.09862;26;12;1.31;0.76781213;297000
01/03/2015;22.01249577;110.763;185.16232;26;12;1.31;0.76781213;297000
01/04/2015;25.36942728;85.1487;32.46332;26;12;1.31;0.9160136;297000
01/05/2015;22.74790696;64.0601;48.89062;26;12;1.31;0.9160136;297000
